S.No,Project_Name,District,Tehsil/Town,Year_Sanctioned,No._of_Floors,Building_Type,Structure_Type,Foundation_Type,Cost-per-Sqft,Total_Cost (in Millions),Cleaned_Year
76,GHS Ghazial,Haripur,Haripur (46),03/17/2023,2,Education,RCC,Raft,3800,42.6,2023
77,Civil Hospital KTS (Admin Block),Haripur,Haripur (46),05/26/2023,2,Health,RCC,Raft,5200,88.4,2023
78,BHU Serai Niamat Khan,Haripur,Haripur (46),07/14/2023,1,Health,RCC,Strip,3500,33.15,2023
79,BHU Jattipind,Haripur,Khanpur (48),09/29/2023,1,Health,RCC,Isolated,3800,29.8,2023
80,BHU Koka,Haripur,Ghazi (47),11/20/2023,1,Health,RCC,Strip,3500,31.4,2023
81,BHU Ladarmang,Haripur,Haripur (46),09/02/2024,1,Health,RCC,Raft,5200,36.25,2024
82,Judicial Complex Haripur (Session Blocks),Haripur,Haripur (46),04/23/2024,3,Law & Order,RCC,Raft,4500,165.8,2024
83,Sub-Divisional Complex Ghazi,Haripur,Ghazi (47),11/06/2024,2,Revenue,RCC,Raft,4500,59.2,2024
85,Police Post Kot Najibullah,Haripur,Haripur (46),07/10/2024,1,Home Affairs,RCC,Strip,4500,26.5,2024
86,Pakistan Digital City (Incubation Hub),Haripur,Haripur (46),12/16/2024,2,Technology,RCC,Raft,4500,120,2024
87,District Social Welfare Office Haripur,Haripur,Haripur (46),02/28/2025,1,Social Work,RCC,Strip,4500,34.1,2025
89,Rescue 1122 District HQ Haripur,Haripur,Haripur (46),07/22/2025,2,Emergency,RCC,Raft,4500,68.4,2025
